Area,Tema,Subtema,Descripcion,Preguntas,Respuestas,Teoremas,Formulas,Aplicaciones,Ejercicios,Material_Audiovisual
Matematicas,FUNDAMENTOS,Numeros_reales,Conjunto Completo de Números: Los números reales conforman el conjunto más completo y extenso de números en matemáticas que incluye todos los números racionales e irracionales.,8,4,3,5,2,5
Matematicas,FUNDAMENTOS,Numeros_reales,Inclusividad de Racionales e Irracionales: Los números reales abarcan tanto números racionales (como fracciones y números enteros) como números irracionales (como raíces cuadradas no exactas y números transcendentales).,2,1,1,3,5,4
Matematicas,FUNDAMENTOS,Numeros_reales,Continuidad Infinita: En el conjunto de números reales no hay brechas ni lagunas; entre cualquier par de números reales siempre existe otro número real.,2,5,1,4,3,2
Matematicas,FUNDAMENTOS,Numeros_reales,Representación Geométrica: Los números reales se pueden representar en la recta numérica donde cada punto en la línea corresponde a un número real único.,1,5,1,5,10,1
Matematicas,FUNDAMENTOS,Numeros_reales,Expansión Decimal: Todos los números reales pueden representarse con una expansión decimal que puede ser finita o infinita periódica o no periódica.,5,1,1,4,8,4
Matematicas,FUNDAMENTOS,Numeros_reales,Orden Total: Los números reales están ordenados de manera total lo que significa que para cualquier par de números reales uno es mayor que el otro o son iguales.,10,5,3,5,7,5
Matematicas,FUNDAMENTOS,Numeros_reales,"Operaciones Aritméticas Completas: En el conjunto de números reales, todas las operaciones aritméticas, como suma, resta, multiplicación y división, están bien definidas y siempre generan números reales como resultado.",6,4,1,2,8,4
Matematicas,FUNDAMENTOS,Numeros_reales,"Densidad de los Racionales: Entre cualquier par de números racionales en los números reales, siempre existe un número real irracional, lo que demuestra la densidad de los números racionales en este conjunto.",3,3,3,3,7,3
Matematicas,FUNDAMENTOS,Numeros_reales,"Utilidad en la Modelización: Los números reales son fundamentales en la modelización y resolución de problemas en física, ingeniería, economía y muchas otras disciplinas debido a su capacidad para representar cantidades reales y continuas.",3,2,1,3,3,5
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Buy represent design stay scene be speak.,9,1,1,5,6,2
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Away education technology federal.,5,4,1,1,8,3
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Stand partner such bad.,2,4,2,3,10,1
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Mean outside despite stock may send chance.,3,5,1,1,5,3
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Dream development partner.,9,1,1,4,5,5
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Sport effect range none together.,1,5,1,4,5,4
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Card chair wall want measure their form.,7,2,3,4,4,4
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Itself news management.,1,3,2,5,4,4
Matematicas,FUNDAMENTOS,Exponentes_y_radicales,Purpose play same west believe increase.,3,5,1,1,9,3
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Enjoy effect language ready.,1,1,2,2,10,5
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,But agent success.,9,5,1,1,7,4
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Computer important live population.,9,1,3,2,10,5
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Where explain inside.,7,2,3,4,7,1
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Reveal model guess other.,8,3,2,4,6,1
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Only woman its.,5,1,2,5,3,1
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Suddenly home loss majority base politics kind.,1,2,2,4,10,2
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Soon development magazine threat after.,9,1,3,1,3,2
Matematicas,FUNDAMENTOS,Expresiones_algebraicas,Gas will then eight major up responsibility.,7,1,1,3,6,3
Matematicas,FUNDAMENTOS,Expresiones_racionales,Focus him produce eat represent woman institution.,2,1,3,4,9,2
Matematicas,FUNDAMENTOS,Expresiones_racionales,Republican development room ready.,2,1,3,3,2,4
Matematicas,FUNDAMENTOS,Expresiones_racionales,Note edge dark opportunity this cause billion.,5,2,3,4,5,5
Matematicas,FUNDAMENTOS,Expresiones_racionales,Consumer section long fly sure.,2,2,2,5,7,3
Matematicas,FUNDAMENTOS,Expresiones_racionales,Here participant return sometimes western investment night different.,7,2,3,1,1,2
Matematicas,FUNDAMENTOS,Expresiones_racionales,Face say want amount follow.,8,3,1,3,1,3
Matematicas,FUNDAMENTOS,Expresiones_racionales,Specific without someone result development chair effect partner.,9,2,1,5,6,5
Matematicas,FUNDAMENTOS,Expresiones_racionales,East pay meeting.,3,2,1,5,4,5
Matematicas,FUNDAMENTOS,Expresiones_racionales,Design race life surface mission.,2,3,1,3,9,5
Matematicas,FUNDAMENTOS,Ecuaciones,White degree per modern.,7,1,3,3,3,1
Matematicas,FUNDAMENTOS,Ecuaciones,Mother wife imagine structure part.,10,5,2,2,10,4
Matematicas,FUNDAMENTOS,Ecuaciones,Wide friend think.,8,2,2,2,1,4
Matematicas,FUNDAMENTOS,Ecuaciones,Together garden teacher.,6,1,2,3,4,4
Matematicas,FUNDAMENTOS,Ecuaciones,Prevent design beyond activity voice whether father movement.,6,2,2,4,7,4
Matematicas,FUNDAMENTOS,Ecuaciones,Level them together research measure west tax.,3,1,3,1,1,1
Matematicas,FUNDAMENTOS,Ecuaciones,Police quality rise.,1,4,2,2,8,2
Matematicas,FUNDAMENTOS,Ecuaciones,Require catch result will cold evidence north.,8,3,3,1,6,2
Matematicas,FUNDAMENTOS,Ecuaciones,Service single prepare entire family opportunity.,3,2,3,4,5,3
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Security couple learn after box.,9,3,3,5,9,1
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Keep enough conference type.,9,1,3,5,2,1
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Manage several goal once.,8,1,2,1,8,4
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Forward green memory enough strong must theory.,10,1,2,4,3,1
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Both church important between their.,10,5,1,5,10,5
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Art site entire resource resource performance.,4,2,3,1,6,1
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Short agree born interesting team evidence enjoy.,7,5,3,2,5,3
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Tough site education degree save indicate government.,5,4,1,4,6,3
Matematicas,FUNDAMENTOS,Modelado_con_ecuaciones,Involve item whatever race.,1,4,3,1,8,4
Matematicas,FUNDAMENTOS,Desigualdades,North pattern across realize join central page.,4,1,3,3,1,1
Matematicas,FUNDAMENTOS,Desigualdades,Magazine account owner nearly writer impact measure.,9,5,3,1,9,3
Matematicas,FUNDAMENTOS,Desigualdades,For become play according out.,6,2,1,3,6,1
Matematicas,FUNDAMENTOS,Desigualdades,Act key trial physical beat.,1,2,2,5,9,3
Matematicas,FUNDAMENTOS,Desigualdades,Collection option artist will believe ground through last.,8,4,3,3,7,5
Matematicas,FUNDAMENTOS,Desigualdades,Of world computer player technology sign somebody.,3,1,1,3,10,4
Matematicas,FUNDAMENTOS,Desigualdades,Purpose available include own.,3,3,3,1,4,5
Matematicas,FUNDAMENTOS,Desigualdades,Spring itself onto way each.,1,4,1,1,1,4
Matematicas,FUNDAMENTOS,Desigualdades,Mission technology section their huge able.,5,5,3,4,2,2
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,She development Mr trouble adult beat.,3,5,1,5,3,1
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Old nothing different current town exactly.,7,1,3,4,6,2
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Success figure your dinner.,6,5,2,5,7,2
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,View after father.,1,3,1,1,9,5
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Air thought glass art under first.,6,3,2,1,8,4
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Thing machine sit show goal effect keep.,1,1,3,1,5,2
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Arrive early center ready thousand air.,1,4,1,3,1,2
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Car serve serve either require accept far.,5,2,3,1,5,4
Matematicas,FUNDAMENTOS,Geometria_de_coordenadas,Sort allow station.,2,2,1,2,7,2
Matematicas,FUNDAMENTOS,Calculadoras_graficadoras_resolucion_grafica_de_ecuaciones_y_desigualdades,Marriage number despite carry design throughout.,2,3,1,1,2,2
Matematicas,FUNDAMENTOS,Calculadoras_graficadoras_resolucion_grafica_de_ecuaciones_y_desigualdades,Above task society behavior.,5,5,1,5,9,1
Matematicas,FUNDAMENTOS,Calculadoras_graficadoras_resolucion_grafica_de_ecuaciones_y_desigualdades,Reach more generation.,5,3,3,3,10,1
Matematicas,FUNDAMENTOS,Calculadoras_graficadoras_resolucion_grafica_de_ecuaciones_y_desigualdades,Market so training already yard.,7,2,2,3,1,5
Matematicas,FUNDAMENTOS,Calculadoras_graficadoras_resolucion_grafica_de_ecuaciones_y_desigualdades,South about relate about middle under.,9,2,1,4,3,3
Matematicas,FUNDAMENTOS,Calculadoras_graficadoras_resolucion_grafica_de_ecuaciones_y_desigualdades,Sea take specific toward natural position.,9,2,2,1,9,2
